OBJECTID,building_name,measured_height,building_class,storeys_above_ground,gameobject_name,lat,long
538,TELOK AYER CONSERVATION AREA,16.0520,habitation,5,CityEngineMaterial_538_m,1.28174,103.846
539,TELOK AYER CONSERVATION AREA,15.5580,habitation,5,CityEngineMaterial_539_m,1.28178,103.846
540,,16.9720,habitation,6,CityEngineMaterial_540_m,1.28181,103.846
541,LIBERTY HOUSE,20.8010,"business, trade",7,CityEngineMaterial_541_m,1.28194,103.846
542,TELOK AYER CONSERVATION AREA,13.7580,habitation,5,CityEngineMaterial_542_m,1.28207,103.846
543,,16.5290,,6,CityEngineMaterial_543_m,1.28211,103.846
544,TELOK AYER CONSERVATION AREA,17.9630,habitation,6,CityEngineMaterial_544_m,1.28224,103.846
545,EMERALD GARDEN,17.7400,habitation,6,CityEngineMaterial_545_m,1.28234,103.846
546,TELOK AYER CONSERVATION AREA,15.5680,habitation,5,CityEngineMaterial_546_m,1.28234,103.846
547,TELOK AYER CONSERVATION AREA,15.8090,habitation,5,CityEngineMaterial_547_m,1.28235,103.847
548,TELOK AYER CONSERVATION AREA,15.0450,habitation,5,CityEngineMaterial_548_m,1.28243,103.847
549,TELOK AYER CONSERVATION AREA,13.4870,habitation,4,CityEngineMaterial_549_m,1.28233,103.847
550,,10.3420,,3,CityEngineMaterial_550_m,1.28237,103.847
551,,7.1610,habitation,2,CityEngineMaterial_551_m,1.28245,103.847
552,,7.2160,habitation,2,CityEngineMaterial_552_m,1.28247,103.847
553,,7.2700,habitation,2,CityEngineMaterial_553_m,1.28249,103.847
554,,7.3180,habitation,2,CityEngineMaterial_554_m,1.28251,103.847
555,,7.3490,habitation,2,CityEngineMaterial_555_m,1.28252,103.847
556,,7.3240,habitation,2,CityEngineMaterial_556_m,1.28254,103.847
557,,7.3230,habitation,2,CityEngineMaterial_557_m,1.28256,103.847
558,,10.6190,habitation,4,CityEngineMaterial_558_m,1.28258,103.847
559,,10.6260,habitation,4,CityEngineMaterial_559_m,1.28261,103.847
560,,10.8800,habitation,4,CityEngineMaterial_560_m,1.28251,103.847
561,,10.8550,habitation,4,CityEngineMaterial_561_m,1.28247,103.847
562,,10.9850,habitation,4,CityEngineMaterial_562_m,1.28243,103.847
563,,10.9770,habitation,4,CityEngineMaterial_563_m,1.28239,103.847
564,,16.9080,habitation,6,CityEngineMaterial_564_m,1.28228,103.847
565,,16.7860,habitation,6,CityEngineMaterial_565_m,1.28224,103.847
566,,17.3300,habitation,6,CityEngineMaterial_566_m,1.28220,103.847
567,,17.7560,habitation,6,CityEngineMaterial_567_m,1.28215,103.847
568,ALLAN VILLE,16.9910,habitation,6,CityEngineMaterial_568_m,1.28231,103.847
569,,7.7710,habitation,3,CityEngineMaterial_569_m,1.28257,103.847
570,,11.1440,habitation,4,CityEngineMaterial_570_m,1.28260,103.847
571,,14.1420,habitation,5,CityEngineMaterial_571_m,1.28263,103.847
572,,13.8240,habitation,5,CityEngineMaterial_572_m,1.28266,103.847
573,,14.3140,habitation,5,CityEngineMaterial_573_m,1.28269,103.847
574,THE BOX,16.3320,"business, trade",5,CityEngineMaterial_574_m,1.28248,103.847
575,,17.2960,,6,CityEngineMaterial_575_m,1.28240,103.847
576,TELOK AYER CONSERVATION AREA,11.3330,,4,CityEngineMaterial_576_m,1.28323,103.846
577,TELOK AYER CONSERVATION AREA,10.4770,,3,CityEngineMaterial_577_m,1.28327,103.846
578,TELOK AYER CONSERVATION AREA,11.2510,,4,CityEngineMaterial_578_m,1.28330,103.846
579,,10.1830,habitation,3,CityEngineMaterial_579_m,1.28337,103.846
580,,11.6430,habitation,4,CityEngineMaterial_580_m,1.28334,103.846
581,TELOK AYER CONSERVATION AREA,17.2120,,6,CityEngineMaterial_581_m,1.28308,103.846
582,ISTAY.INN,13.2300,,4,CityEngineMaterial_582_m,1.28304,103.846
583,ISTAY.INN,13.2080,,4,CityEngineMaterial_583_m,1.28301,103.846
584,ISTAY.INN,13.2080,,4,CityEngineMaterial_584_m,1.28298,103.846
585,ISTAY.INN,13.2090,,4,CityEngineMaterial_585_m,1.28295,103.846
586,TELOK AYER CONSERVATION AREA,9.5570,,3,CityEngineMaterial_586_m,1.28293,103.846
587,TELOK AYER CONSERVATION AREA,8.4320,habitation,3,CityEngineMaterial_587_m,1.28290,103.846
588,,10.3090,habitation,3,CityEngineMaterial_588_m,1.28287,103.846
589,TELOK AYER CONSERVATION AREA,9.9930,habitation,3,CityEngineMaterial_589_m,1.28283,103.846
590,,20.2480,,7,CityEngineMaterial_590_m,1.28255,103.846
591,,9.6090,habitation,3,CityEngineMaterial_591_m,1.28259,103.846
592,,9.6200,habitation,3,CityEngineMaterial_592_m,1.28260,103.846
593,,8.9730,,3,CityEngineMaterial_593_m,1.28267,103.846
594,,8.9750,,3,CityEngineMaterial_594_m,1.28269,103.846
595,TELOK AYER CONSERVATION AREA,9.7630,,3,CityEngineMaterial_595_m,1.28270,103.846
596,5FOOTWAY.INN PROJECT CHINATOWN 2,9.7900,,3,CityEngineMaterial_596_m,1.28273,103.846
597,TELOK AYER CONSERVATION AREA,9.8700,habitation,3,CityEngineMaterial_597_m,1.28276,103.846
598,TELOK AYER CONSERVATION AREA,12.1380,habitation,4,CityEngineMaterial_598_m,1.28264,103.846
599,TELOK AYER CONSERVATION AREA,12.0990,habitation,4,CityEngineMaterial_599_m,1.28259,103.846
600,TELOK AYER CONSERVATION AREA,12.0660,,4,CityEngineMaterial_600_m,1.28256,103.846
601,TELOK AYER CONSERVATION AREA,12.0340,,4,CityEngineMaterial_601_m,1.28252,103.846
602,TELOK AYER CONSERVATION AREA,11.9920,,4,CityEngineMaterial_602_m,1.28248,103.846
